Semestre,Número de Víctimas,"Tasa de Homicidios (por 100,000 habitantes)",Diferencia Porcentual (%)
julio-diciembre 2021,40,1.345889844684312,23.636363636363633
enero-junio 2021,56,1.7624747966104084,
