id,n_victimas,lugar_del_hecho,comuna,altura,participantes,calle,acusado,tipo_de_calle,hora,id_hecho,fecha,aaaa,mm,dd,rol,victima,sexo,edad,fecha_fallecimiento
2021-0029,1,"falcon, ramon l., cnel. y san pedrito av.",7,sin dato,auto-auto,"falcon, ramon l.,cnel.",auto,avenida,18:05:00,2021-0029,2021-03-31,2021,3,31,conductor,auto,masculino,26,2021-04-02
2021-0030,1,finochietto enrique dr. 1623,4,1623.0,peaton-pasajeros,finochietto enrique dr.,pasajeros,calle,18:30:00,2021-0030,2021-04-03,2021,4,3,peaton,peaton,masculino,36,2021-04-07
2021-0031,1,9 de julio av. e independencia av.,1,sin dato,peaton-cargas,9 de julio av.,cargas,avenida,10:29:00,2021-0031,2021-04-07,2021,4,7,peaton,peaton,femenino,68,2021-04-11
2021-0032,1,"au cantilo y guiraldes, int.",13,sin dato,peaton-moto,"cantilo, int.",moto,autopista,19:55:00,2021-0032,2021-04-10,2021,4,10,peaton,peaton,masculino,60,2021-04-29
2021-0033,1,au 25 de mayo altura bajada boedo av.,5,sin dato,auto-objeto fijo,autopista 25 de mayo,objeto fijo,autopista,17:50:00,2021-0033,2021-04-14,2021,4,14,conductor,auto,masculino,33,2021-04-14
2021-0034,1,"alcorta, amancio av. y zavaleta",4,sin dato,moto-cargas,"alcorta, amancio av.",cargas,avenida,14:40:00,2021-0034,2021-04-19,2021,4,19,pasajero_acompañante,moto,femenino,26,2021-04-19
2021-0035,1,"janer, ana maria y lafuente av.",8,sin dato,moto-cargas,"janer, ana maria",cargas,avenida,09:20:00,2021-0035,2021-05-03,2021,5,3,conductor,moto,masculino,24,2021-05-03
2021-0036,1,"paz, gral. av. y mosconi general av.",11,sin dato,moto-objeto fijo,"paz, gral. av.",objeto fijo,gral paz,06:00:00,2021-0036,2021-05-09,2021,5,9,conductor,moto,masculino,36,2021-05-09
2021-0037,1,"monroe y balbin, ricardo, dr. av.",13,sin dato,peaton-pasajeros,monroe,pasajeros,avenida,07:10:00,2021-0037,2021-05-11,2021,5,11,peaton,peaton,femenino,58,2021-05-11
2021-0038,1,"justo, juan b. av. y santa fe av.",14,sin dato,moto-cargas,"justo, juan b. av.",cargas,avenida,11:40:00,2021-0038,2021-05-14,2021,5,14,conductor,moto,femenino,44,2021-05-14
2021-0039,1,"oliden y alberdi, juan bautista av.",9,sin dato,bicicleta-auto,oliden,auto,avenida,12:09:00,2021-0039,2021-05-15,2021,5,15,ciclista,bicicleta,masculino,86,2021-06-05
2021-0040,1,"paz, gral. av. y del libertador av.",13,sin dato,moto-auto,"paz, gral. av.",auto,gral paz,05:50:00,2021-0040,2021-05-20,2021,5,20,conductor,moto,masculino,27,2021-05-20
2021-0041,1,del libertador av. y casares av.,14,sin dato,peaton-pasajeros,del libertador av.,pasajeros,avenida,08:30:00,2021-0041,2021-05-20,2021,5,20,peaton,peaton,masculino,75,2021-05-20
2021-0042,1,rivadavia av. 10900,9,10900.0,peaton-pasajeros,rivadavia av.,pasajeros,avenida,05:00:00,2021-0042,2021-05-21,2021,5,21,peaton,peaton,masculino,39,2021-05-21
2021-0043,1,"alberdi, juan bautista av. y pilar",9,sin dato,peaton-auto,"alberdi, juan bautista av.",auto,avenida,18:26:00,2021-0043,2021-05-22,2021,5,22,peaton,peaton,masculino,50,2021-05-22
2021-0044,1,"peron, eva av. y acosta, mariano",9,sin dato,moto-objeto fijo,"peron, eva av.",objeto fijo,avenida,02:00:00,2021-0044,2021-05-25,2021,5,25,pasajero_acompañante,moto,masculino,21,2021-05-25
2021-0045,1,au frondizi y suarez av.,4,sin dato,multiple,autopista 1 sur presidente arturo frondizi,multiple,autopista,17:24:00,2021-0045,2021-05-26,2021,5,26,conductor,moto,masculino,22,2021-05-26
2021-0046,1,el cano av. y guzman av.,15,sin dato,auto-objeto fijo,elcano av.,objeto fijo,avenida,02:00:00,2021-0046,2021-05-31,2021,5,31,pasajero_acompañante,auto,masculino,20,2021-05-31
2021-0047,1,"vedia, agustin de y rabanal, francisco, intendente av.",4,sin dato,moto-auto,"vedia, agustin de",auto,avenida,16:00:00,2021-0047,2021-06-02,2021,6,2,conductor,moto,masculino,59,2021-06-02
2021-0048,1,capdevilla y congreso av.,12,sin dato,bicicleta-auto,capdevila,auto,avenida,09:58:00,2021-0048,2021-06-03,2021,6,3,ciclista,bicicleta,masculino,44,2021-06-23
2021-0049,1,"fernandez de la cruz, f., gral. av. 4000",8,4000.0,auto-auto,"fernandez de la cruz, f., gral. av.",auto,avenida,20:30:00,2021-0049,2021-06-03,2021,6,3,conductor,auto,masculino,74,2021-06-03
2021-0050,1,del libertador av. 5958,13,5958.0,moto-pasajeros,del libertador av.,pasajeros,avenida,13:30:00,2021-0050,2021-06-10,2021,6,10,conductor,moto,masculino,56,2021-06-10
2021-0051,1,27 de febrero av. y erezcano av.,4,sin dato,peaton-cargas,27 de febrero av.,cargas,avenida,19:20:00,2021-0051,2021-06-15,2021,6,15,peaton,peaton,masculino,73,2021-06-16
